"Bill of Material for "
"On 11/14/2017 at 5:38:33 PM"

"Comment","Pattern","Quantity","Components"

"0.01uF","CAPC2013X70X45ML10T25","5","C2, C5, C8, C12, C13","Chip Capacitor, 10 nF, +/- 10%, 50 V, -55 to 125 degC, 0805 (2012 Metric), RoHS, Tape and Reel"
"10 k","RESC3116X65X40ML10T20","10","R2, R4, R9, R11, R14, R18, R24, R25, R28, R29","Chip Resistor, 10 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"1729128","PHOE-1729128-2_V","1","J?","PCB Terminal Block, 13.5 A, 400 V, 2-Pin THD, RoHS, Bulk"
"1N4757A","FAIR-DO-41-2_V","5","D4, D10, D12, D19, D20","Zener Diode, 51V, 1W, 5%, -65 to 200 degC, 2-Pin DO-41, Body 2.72 x 5.2 mm, RoHS"
"1uF","CAPC1206(3216)110_L","5","C3, C6, C9, C14, C15","CAP 1uF 50V ±10% 1206 (3216 Metric) Thickness 1.1mm SMD"
"2 k","RESC2013X60X35ML10T20","5","R1, R8, R10, R22, R23",""
"330","RESC3116X65X40LL10T20","15","R3, R6, R7, R12, R13, R16, R17, R20, R21, R26, R27, R32, R33, R34, R35","Chip Resistor, 330 Ohm, +/- 1%, 250 mW, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"4.7 k","YAGO-RC0805_M","5","R5, R15, R19, R30, R31","General Puprose Chip Resistor, 4700 Ohm +/- 1%, 0.125 W, -55 to 155 degC, 2-Pin SMD, RoHS, Tape and Reel"
"53261-0271","MOLX-53261-0271_V","5","P1, P2, P3, P4, P5","PicoBlade(TM) Header, Right Angle, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"CAP 680pF 50V","CAPC1005X55X25ML05T10","5","C1, C4, C7, C10, C11","Chip Capacitor, 680 pF, +/- 10%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"MJD122T4G","ONSC-DPAK-3-369C-01_V","5","Q4, Q10, Q12, Q19, Q20","Complementary Darlington Power Transistor, 3-Pin DPAK, Pb-Free, Tape and Reel"
"MJD127T4G","ONSC-DPAK-3-369C-01_V","5","Q2, Q7, Q8, Q15, Q16","Complementary Darlington Power Transistor, 3-Pin DPAK, Pb-Free, Tape and Reel"
"MMBTA42LT1G","ONSC-SOT-23-3-318-08_V","10","Q1, Q3, Q5, Q6, Q9, Q11, Q13, Q14, Q17, Q18","High Voltage Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"
"NE555DR","D0008A_L","5","U1, U2, U3, U4, U5","Precision Timer, 4.5 to 16 V, 0 to 70 degC, 8-Pin SOIC (D8), Green (RoHS & no Sb/Br), Tape and Reel"
"PC-104","PC-104FOOTPRINT","1","PC-1",""
"S1J-13-F","DIOD-S1M-13-F-SMA-2_V","15","D1, D2, D3, D5, D6, D7, D9, D11, D13, D14, D15, D16, D17, D18, D89","Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel"
